,536,CFT073,F11,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
78514_tdcR,,,,,,,,,,,,,,PROKKA_04960,,,,b3119,,
15902_hypothetical_protein,,,,,,PROKKA_01139,,,,,,,,,,,,,,
1188_mchE,,c1231,AS527_RS17080,,,,,,PROKKA_00671,,,,,PROKKA_06076,PROKKA_04580,,,,,
87299_hypothetical_protein,ECP_RS25200,,AS527_RS29290,,,,,,,,,,,,,,,,,
78162_ygbE,ECP_RS13960,c3316,AS527_RS18480,PROKKA_02516,PROKKA_01112,PROKKA_01569,PROKKA_02347,PROKKA_02790,PROKKA_03820,PROKKA_03473,PROKKA_05254,PROKKA_01833,PROKKA_01590,PROKKA_05569,PROKKA_01525,PROKKA_02160,PROKKA_01938,b2749,ECUMN_3073,UTI89_C3120
80782_hypothetical_protein..,,,,,,,,,,,,,,,,,,,ECUMN_0881,
21896_hypothetical_protein,,,,,,,PROKKA_01938,,,,,,,,,,,,,
99671_hypothetical_protein,,,,,,,,,,,,,,,,,,,,UTI89_P084
26978_hsdR,,,,,,,,PROKKA_01908,,,,,,,,,,,,
43891_hypothetical_protein,,,,,,,,,,,PROKKA_04278,,,,,,,,,
77471_hisH,ECP_RS10525,c2550,AS527_RS01435,PROKKA_01733,PROKKA_00362,PROKKA_00818,PROKKA_01566,PROKKA_02067,PROKKA_04517,PROKKA_04183,PROKKA_04047,PROKKA_02580,PROKKA_00848,PROKKA_02314,PROKKA_00826,PROKKA_01475,PROKKA_02663,b2023,ECUMN_2365,UTI89_C2296
61561_rfbC,,,,,,,,,,,,,,,PROKKA_00843,,,,,
77661_atoS,ECP_RS11520,c2762,AS527_RS19920,PROKKA_01991,,PROKKA_01023,,,PROKKA_04306,PROKKA_03965,PROKKA_04324,PROKKA_02377,PROKKA_01058,PROKKA_02580,PROKKA_01039,PROKKA_01686,PROKKA_02449,b2219,ECUMN_2557,UTI89_C2501
78448_ibsD,,,,,,,,,,,,,,,,,,b4664,,
77229_ydjE,ECP_RS08770,c2173,AS527_RS15300,PROKKA_01421,,PROKKA_00435,PROKKA_01289,,PROKKA_04891,PROKKA_04515,PROKKA_03611,PROKKA_02908,PROKKA_00432,PROKKA_01944,PROKKA_00420,PROKKA_01143,PROKKA_03018,b1769,ECUMN_2058,UTI89_C1965
75680_ldcC,ECP_RS00975,c0224,AS527_RS24480,PROKKA_04620,PROKKA_03116,PROKKA_03871,PROKKA_04557,PROKKA_00010 PROKKA_04804,PROKKA_01654,PROKKA_01361,PROKKA_01912,PROKKA_04528,PROKKA_03861,PROKKA_03209,PROKKA_03610,PROKKA_04370,PROKKA_04702,b0186,ECUMN_0183,UTI89_C0201
86297_hypothetical_protein,ECP_RS24815,,AS527_RS28070,,,,,,,,,,,,,,,,,UTI89_C1814
80886_conserved_hypothetic..,,,,,,,,,,,,,,,,,,,ECUMN_0986,
78586_yrbG,,c3956,AS527_RS13785,PROKKA_03051,PROKKA_01614,PROKKA_02173,PROKKA_02965,PROKKA_03293,PROKKA_03232,PROKKA_02945,PROKKA_00204,PROKKA_01320,PROKKA_02177,PROKKA_04874,PROKKA_02059,PROKKA_02673,PROKKA_01307,b3196,ECUMN_3676,UTI89_C3632
76188_sucA,ECP_RS03705,c0803,AS527_RS05360,PROKKA_00210,PROKKA_03683,PROKKA_04407,PROKKA_05205,PROKKA_00613,PROKKA_01031,PROKKA_00808,PROKKA_02469,PROKKA_03960,PROKKA_04405,PROKKA_00459,PROKKA_04216,PROKKA_04923,PROKKA_04197,b0726,ECUMN_0803,UTI89_C0721
7059_helix-turn-helix_pro..,,,AS527_RS08140,PROKKA_01778,,,,,,,,,,,,,,,ECUMN_2401,UTI89_C2339
13361_Gene_25-like_lysozym..,,,,,PROKKA_03157,,,PROKKA_00061,,,,,,PROKKA_03153,,,,,,
45285_hypothetical_protein,,,,,,,,,,,,PROKKA_00100,,,,,,,,
79451_phnC,ECP_RS22155,c5111,AS527_RS12140,PROKKA_04087,PROKKA_02568,PROKKA_03286,PROKKA_04028,PROKKA_04286,PROKKA_02170,PROKKA_01916,PROKKA_01294,PROKKA_00291,PROKKA_03221,,PROKKA_03090,PROKKA_03768,PROKKA_00186,b4106,ECUMN_4637,UTI89_C4700
35174_Fibronectin_type_III..,,,,,,,,,,PROKKA_00223,,,,,,,,,,
76034_nohD,ECP_RS05940,c3174,,PROKKA_00674,,PROKKA_04954,,PROKKA_00397,,,,,,,,PROKKA_00537,PROKKA_00309,b0560,ECUMN_0612 ECUMN_1415,
1245_Unknown_protein_enco..,ECP_RS01700 ECP_RS15395 ECP_RS23520,c1289 c3678 c5148,AS527_RS12880,PROKKA_04120,,PROKKA_01900,PROKKA_02686,,PROKKA_00604 PROKKA_03518,,PROKKA_01329 PROKKA_04875 PROKKA_04962,,PROKKA_01897 PROKKA_03253 PROKKA_03551,PROKKA_00847 PROKKA_03859 PROKKA_05083,PROKKA_04639,PROKKA_00390 PROKKA_03205 PROKKA_03800,PROKKA_01601 PROKKA_03794,,ECUMN_3412,UTI89_C1150 UTI89_C4998
75975_rhsD,,,,,PROKKA_03476,,,,,,,,,,,,,b0497,,
77510_yegH,ECP_RS10710,c2590,AS527_RS08150,PROKKA_01776,PROKKA_00398,PROKKA_00861,PROKKA_01609,PROKKA_02105,PROKKA_04475,PROKKA_04141,PROKKA_04092,PROKKA_02537,PROKKA_00894,PROKKA_02362,PROKKA_00876,PROKKA_01524,PROKKA_02622,b2063,ECUMN_2399,UTI89_C2337
9920_rbsA_3,,,AS527_RS03610,PROKKA_04818,PROKKA_03303,,PROKKA_04769,PROKKA_00151,,,,,,,,,,,ECUMN_0365,UTI89_C0356
10295_stoA,,,,PROKKA_05206,,,,PROKKA_04939,,,,,,,,,PROKKA_05233,,ECUMN_p10046,UTI89_P008
75640_sfsA,ECP_RS00785,c0179,AS527_RS24670,PROKKA_04581,PROKKA_03076,PROKKA_03828,PROKKA_04515,PROKKA_04763,PROKKA_01694,PROKKA_01402,PROKKA_01870,PROKKA_04571,PROKKA_03821,PROKKA_03261,PROKKA_03570,PROKKA_04330,PROKKA_04741,b0146,ECUMN_0143,UTI89_C0160
27706_Transposase,,,,,,,,PROKKA_02677,,,,,,,,,,,,
77805_emrY,ECP_RS12195,c2902,AS527_RS09525,PROKKA_02127,PROKKA_00750,PROKKA_01171,PROKKA_01950,PROKKA_02396,PROKKA_04165,PROKKA_03834,PROKKA_04515,PROKKA_02245,PROKKA_01198,,PROKKA_01175,PROKKA_01817,PROKKA_02308,b2367,ECUMN_2696,UTI89_C2698
57737_hypothetical_protein,,,,,,,,,,,,,,PROKKA_06315,PROKKA_05134,,,,,
33994_spo0F,,,,,,,,,PROKKA_04305,,,,,,,,,,,
39456_hypothetical_protein,,,,,,,,,,PROKKA_04753,,,,,,,,,,
65169_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_04652,,,,,
35543_lpxK_3,,,,,,,,,,PROKKA_00611,,,,,,PROKKA_00225,,,,
58752_hypothetical_protein,,,,,,,,,,,,,,PROKKA_03855,,,,,,
64331_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_03771,,,,,
63897_dhaK_1,,,,,,,,,,,,,,,PROKKA_03315,,,,,
39271_katE_1,,,,,,,,,,PROKKA_04556,,,,,,,PROKKA_03063,,,
58069_gmhA_1,,,,,,,,,,,,,,PROKKA_03141,,,,,,
9_Hypothetical_protein,,c0009,,,,,,,,,,,,,,,,,,
54691_hypothetical_protein,,,,,,,,,,,,,,PROKKA_06175,,,,,,
24471_hypothetical_protein,,,,,,,PROKKA_04665,,,,,,,,,,,,,
3480_Hypothetical_protein,,c3562,,,,,,,,,,,,,,,,,,
51302_hypothetical_protein,,,,,,,,,,,,,PROKKA_01671,,,,PROKKA_01845,,,
77320_mepM,ECP_RS09235,c2270,AS527_RS14835,,PROKKA_00181,,PROKKA_01393,,,PROKKA_04421,PROKKA_03706,PROKKA_02818,,,,PROKKA_01230,PROKKA_02920,b1856,ECUMN_2154,UTI89_C2060
33870_fadI_2,,,,,,,,,PROKKA_04181,PROKKA_03845,,,,,,,,,,
77290_yobH,ECP_RS09070,c2235,AS527_RS15000,PROKKA_01482,PROKKA_00145,PROKKA_00490,PROKKA_01356,PROKKA_01812,PROKKA_04834,PROKKA_04462,PROKKA_03672,PROKKA_02853,PROKKA_00486,PROKKA_02009,PROKKA_00477,PROKKA_01197,PROKKA_02957,b4536,,UTI89_C2027
78126_hydN,ECP_RS13695,c3269,AS527_RS18680,PROKKA_02478,PROKKA_01071,PROKKA_01530,PROKKA_02300,PROKKA_02749,PROKKA_03861,PROKKA_03516,PROKKA_05296,PROKKA_01893,PROKKA_01549,PROKKA_05608,PROKKA_01482,PROKKA_02121,PROKKA_01996,b2713,ECUMN_3034,UTI89_C3075
2385_Hypothetical_protein,ECP_RS10060,c2450,,,,,,,PROKKA_04620,,PROKKA_03945,,PROKKA_00757,,PROKKA_00742,PROKKA_01403,PROKKA_02764,,,UTI89_C2206
77506_wcaA,ECP_RS10690,c2585,AS527_RS08170,PROKKA_01771,PROKKA_00393,PROKKA_00855,PROKKA_01603,,PROKKA_04481,PROKKA_04146,PROKKA_04087,PROKKA_02543,PROKKA_00889,PROKKA_02356,PROKKA_00870,PROKKA_01518,,b2059,ECUMN_2395,UTI89_C2333
1454_Hypothetical_protein,,c1502,,,,,,,,,,,,,,,,,,
77905_yffB,ECP_RS12670,c2998,AS527_RS10000,PROKKA_02217,PROKKA_00843,PROKKA_01262,PROKKA_02052,PROKKA_02492,PROKKA_04073,PROKKA_03740,PROKKA_04609,PROKKA_02153,PROKKA_01289,PROKKA_02851,PROKKA_01267,PROKKA_01908,PROKKA_02214,b2471,ECUMN_2783,UTI89_C2797
78387_pitB,ECP_RS15665 ECP_RS18270,c3724 c4291,AS527_RS11280 AS527_RS07835,PROKKA_03354,PROKKA_01401 PROKKA_01891,PROKKA_02476,PROKKA_02733 PROKKA_03273,PROKKA_03069 PROKKA_03579,PROKKA_02917,PROKKA_02637 PROKKA_03162,PROKKA_00512 PROKKA_04820,PROKKA_01014,PROKKA_01956 PROKKA_02491,PROKKA_04557 PROKKA_05173,PROKKA_02380,PROKKA_02978,PROKKA_00993,b2987 b3493,ECUMN_3471 ECUMN_3978,UTI89_C3409 UTI89_C4012
59901_hypothetical_protein,,,,,,,,,,,,,,PROKKA_05062,,,,,,
78619_rpsI,ECP_RS16875,c3984,AS527_RS13655,PROKKA_03081,PROKKA_01644,PROKKA_02202,PROKKA_02995,PROKKA_03322,PROKKA_03204,PROKKA_02916,PROKKA_00231,PROKKA_01292,PROKKA_02204,PROKKA_04841,PROKKA_02088,PROKKA_02700,PROKKA_01278,b3230,ECUMN_3704,UTI89_C3660
64797_bioA_1,,,,,,,,,,,,,,,PROKKA_04265,,,,,
21316_slp_1,,,,,,,PROKKA_01332,,,,,,,,,,,,,
34963_immR_1,,,,,,,,,,PROKKA_00004 PROKKA_04810,,,,,,,,,,
1193_Conserved_hypothetic..,ECP_RS01460,c1236,,,,,,,PROKKA_00662,,,,,,PROKKA_04586,PROKKA_00343,,,,UTI89_C1106
22766_mzrA,,,,,,,PROKKA_02854,,,,,,,,,,,,,
33382_recJ_1,,,,,,,,,PROKKA_03657,,,,,PROKKA_05371,,,,,,
1409_Hypothetical_protein,,c1457,,,,,,,,,,,,,,,,,,
77334_yecN,ECP_RS09300,c2283,AS527_RS14770,PROKKA_01531,PROKKA_00207,PROKKA_00539,PROKKA_01406,PROKKA_01861,PROKKA_04784,PROKKA_04408,PROKKA_03809,PROKKA_02805,PROKKA_00535,PROKKA_02062,PROKKA_00528,PROKKA_01243,PROKKA_02907,b1869,ECUMN_2167,UTI89_C2073
58486_hypothetical_protein,,,,,,,,,,,,,,PROKKA_03580,,,PROKKA_05078,,,
4449_Hypothetical_protein,,c4546,AS527_RS23300,,,,,,,,PROKKA_01355,,,,,,,,,
23689_hypothetical_protein,,,,,,,PROKKA_03831,,,,,,,,,,,,,
58543_ahr_2,,,,,,,,,,,,,,PROKKA_03639,,,,,,
82177_hypothetical_protein,,,,,,,,,,,,,,,,,,,ECUMN_2314,
39616_traY,,,,,,,,,,,PROKKA_05495,,,,,,,,,
1268_Hypothetical_protein,ECP_RS05280,c1312,AS527_RS29160,,,,,,,,,,,,,,,,ECUMN_1222,UTI89_C1171
48849_iaaA_1,,,,,,,,,,,,PROKKA_03855,,,,,,,,
64826_glycosyl_transferase..,,,,,,,,,,,,,,,PROKKA_04295,,PROKKA_04118,,,
89216_hypothetical_protein,ECP_RS25970,,,,,,,,,,,,,,,,,,,UTI89_C4933
37416_gadW_1,,,,,,,,,,PROKKA_02606,,,,,PROKKA_02411,,,,,
1728_Hypothetical_protein,,c1781,,,,,,,,,,,,,,,,,,UTI89_C1580
76558_lpoB,ECP_RS05575,c1378,AS527_RS02855,PROKKA_00602,PROKKA_04073,PROKKA_04891,PROKKA_00455,PROKKA_01072,PROKKA_00525,PROKKA_00437,PROKKA_02841,PROKKA_03591,PROKKA_04772,PROKKA_01086,PROKKA_04760,PROKKA_00466,PROKKA_03715,b1105,ECUMN_1283,UTI89_C1233
45054_Integrase_core_domai..,,,,,,,,,,,,PROKKA_04852,,,,,,,,
61379_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_00651,,,,,
77427_msrQ,ECP_RS09765,c2390,AS527_RS16615,PROKKA_01630,PROKKA_00307,PROKKA_00704,PROKKA_01504,PROKKA_01975,PROKKA_04685,PROKKA_04307,PROKKA_03911,PROKKA_02705,PROKKA_00634,PROKKA_02173,PROKKA_00628,PROKKA_01342,PROKKA_02825,b1972,ECUMN_2263,UTI89_C2171
25080_hypothetical_protein,,,,,,,,PROKKA_05068,,,,,,PROKKA_06324,PROKKA_05126,,,,,
77721_nuoJ,ECP_RS11815,c2821,AS527_RS20210,PROKKA_02053,PROKKA_00624,PROKKA_01085,PROKKA_01863,PROKKA_02320,PROKKA_04245,PROKKA_03906,PROKKA_04383,PROKKA_02316,PROKKA_01118,PROKKA_02654,PROKKA_01100,PROKKA_01745,PROKKA_02389,b2280,ECUMN_2619,UTI89_C2560
55495_hcr_1,,,,,,,,,,,,,,PROKKA_00784,,,,,,
95448_hypothetical_protein,,,,,,,,,,,,,,,,,,,,UTI89_C0952
46142_hypothetical_protein,,,,,,,,,,,,PROKKA_01023,,,,,,,,
3198_Hypothetical_protein,,c3276,,,,,PROKKA_02305,,PROKKA_03857,,PROKKA_05291,,PROKKA_01553,,PROKKA_01488,,,,,
55126_nagA_2,,,,,,,,,,,,,,PROKKA_00405,,,,,,
78800_rtcR,ECP_RS17880,c4199,,PROKKA_03256,PROKKA_01820,,PROKKA_03185,PROKKA_03506,PROKKA_03001,PROKKA_02717,PROKKA_00435,,PROKKA_02408,PROKKA_04631,PROKKA_02291,PROKKA_02898,PROKKA_01071,b3422,ECUMN_3880,UTI89_C3922
10159_hypothetical_protein,,,,PROKKA_05066,,PROKKA_01438,,,,,,PROKKA_03531,,,,,PROKKA_04960,,ECUMN_0608,
488_Hypothetical_protein,,c0510,,,,,,,,,,,,,,,,,,UTI89_C0422
76244_ybhN,ECP_RS04035,c0871,AS527_RS05680,PROKKA_00284,PROKKA_03750,PROKKA_04472,PROKKA_00050,PROKKA_00681,PROKKA_00965,PROKKA_00742,PROKKA_02535,PROKKA_03895,PROKKA_04470,PROKKA_00556,PROKKA_04281,PROKKA_00022,PROKKA_04131,b0788,ECUMN_0932,UTI89_C0789
39748_Type_IV_secretion_sy..,,,,,,,,,,,PROKKA_05647 PROKKA_05714,,,,,PROKKA_04982 PROKKA_05028,,,ECUMN_p20023,
79636_sgcQ,,,AS527_RS26290,,PROKKA_02789,PROKKA_03553,,,,,PROKKA_01606,,,,,,,b4303,ECUMN_4902,
42243_dinG_2,,,,,,,,,,,PROKKA_02547,,,,,,,,,
76434_appB,ECP_RS04970,c1120,AS527_RS02265,PROKKA_00485,PROKKA_03946,PROKKA_04773,PROKKA_00318,PROKKA_00945,PROKKA_00778,PROKKA_00547,PROKKA_02726,PROKKA_03708,PROKKA_04655,PROKKA_00959,PROKKA_04480,PROKKA_00284,PROKKA_03930,b0979,ECUMN_1169,UTI89_C1047
10289_macB_2,,,,PROKKA_05200,,PROKKA_05362,,PROKKA_04933,,,,,,,,,PROKKA_05239,,ECUMN_p10039,UTI89_P014
77296_msrC,ECP_RS09100,c2241,AS527_RS14970,PROKKA_01488,PROKKA_00151,PROKKA_00496,PROKKA_01362,PROKKA_01818,PROKKA_04828,PROKKA_04451,PROKKA_03678,PROKKA_02847,PROKKA_00492,PROKKA_02016,PROKKA_00484,PROKKA_01203,PROKKA_02951,b1832,ECUMN_2126,UTI89_C2033
9886_NADH_oxidase,,,,PROKKA_04784,,,,,,,,,,,,,,,,
43887_hypothetical_protein,,,,,,,,,,,PROKKA_04274,,,,,,,,,
18165_mtnK,,,AS527_RS26355,,,PROKKA_03541,,,,,PROKKA_01594,,,,,,,,ECUMN_4889,
392_Putative_LysR-like_t..,ECP_RS01825,c0411,AS527_RS03425,PROKKA_04788,,PROKKA_03994,,,PROKKA_01424,PROKKA_01207,PROKKA_02067,PROKKA_04342,PROKKA_04030,PROKKA_03019,PROKKA_03828,PROKKA_04545,PROKKA_04593,,ECUMN_0333,UTI89_C0317
3930_Hypothetical_protein,ECP_RS17055,c4021,,,,PROKKA_02235,,,PROKKA_03169,PROKKA_02883,PROKKA_00267,PROKKA_01258,PROKKA_02236,PROKKA_04804,PROKKA_02123,PROKKA_02733,PROKKA_01244,,,UTI89_C3698
4469_Hypothetical_transcr..,,c4566,AS527_RS23230,,,,,,,,,,,,,,,,,
57349_hypothetical_protein,,,,,,,,,,,,,,PROKKA_02717,,,,,,
62245_relA_1,,,,,,,,,,,,,,,PROKKA_01564,,,,,
3566_Hypothetical_protein,,c3648,,,,PROKKA_01881,,,,,PROKKA_04895,,PROKKA_01880,,,,,,ECUMN_3393,
25050_PsiA_protein,,,,,,,,PROKKA_05037,,,,,,PROKKA_06291,PROKKA_05155,,,,,
35987_yajR_1,,,,,,,,,,PROKKA_01087,,,,,,,,,,
54670_hypothetical_protein,,,,,,,,,,,,,,PROKKA_06153,,,,,,
34061_hypothetical_protein,,,,,,,,,PROKKA_04374,,,,,,,,,,,
79741_hypothetical_protein..,,,,,,,,,,,,,,,,,,,ECUMN_p20005,
65200_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_04684,,,,,
42384_xylA_2,,,,,,,,,,,PROKKA_02693,,,,,,,,,
79174_yzcX,,,,,,,,,,,,,,,,,,b3808,,
76613_ymgL,,,,,,,,,,,,,,,,,,b4739,,
5067_Putative_Transposase..,,c5176,,,,,,,,,,,PROKKA_03270,PROKKA_04251,,,,,,
75879_proY,ECP_RS02305,c0512,AS527_RS03910,PROKKA_04891,PROKKA_03372,PROKKA_04086,PROKKA_04848,PROKKA_00227,PROKKA_01327,PROKKA_01116,PROKKA_02159,PROKKA_04256,PROKKA_04118,PROKKA_00116,PROKKA_03920,PROKKA_04634,PROKKA_04498,b0402,ECUMN_0439,UTI89_C0424
10740_epsF_1,,,,,PROKKA_00369,,,,,,,,,,,,,,,
91065_hypothetical_protein,,,AS527_RS10770,,,,,,,,,,,,,,,,,
214_Hypothetical_protein,,c0222,,,,,,,,,,,,,,,,,,
19789_hypothetical_protein,,,,,,PROKKA_05256,,,,,,,,,,,,,,UTI89_P085
77566_yehR,ECP_RS11005,c2653,AS527_RS12940,PROKKA_01892,PROKKA_00481,PROKKA_00923,PROKKA_01699,PROKKA_02170,PROKKA_04408,PROKKA_04066,PROKKA_04155,PROKKA_02475,PROKKA_00957,PROKKA_02448,PROKKA_00937,PROKKA_01586,PROKKA_02550,b2123,ECUMN_2457,UTI89_C2395
75784_insF-1,,c1224,AS527_RS17180,PROKKA_04150,PROKKA_00333 PROKKA_03264 PROKKA_03479 PROKKA_03996,,PROKKA_00371 PROKKA_00789 PROKKA_02095 PROKKA_02471 PROKKA_04692,PROKKA_00996 PROKKA_02666 PROKKA_02684,PROKKA_00680,,,,PROKKA_03495 PROKKA_03527,PROKKA_03611,PROKKA_04571,PROKKA_03832 PROKKA_03863,PROKKA_03836,b0299 b0372 b0541 b1026 b2089,,
20667_rluB_2,,,,,,,PROKKA_00660,,,,,,,,,,,,,
20223_Regulatory_phage_pro..,,,,,,,PROKKA_00200,PROKKA_00826,,,,,,,,,,,,
34819_hypothetical_protein,,,,,,,,,,PROKKA_04829 PROKKA_04956,,,,,,,,,,
36422_atsA_1,,,,,,,,,,PROKKA_01540,,,,PROKKA_03415,,,,,,
58891_hypothetical_protein,,,,,,,,,,,,,,PROKKA_03999,,,,,,
1201_focG,,c1244,,,,,,,PROKKA_00651,,,,,,,PROKKA_03891,,,,
680_Hypothetical_protein,,c0705,,,,,,,,,,,,,,,,,,UTI89_C0619
9288_hypothetical_protein,,,,PROKKA_04148,,,,,,,,,PROKKA_03530,PROKKA_03832,,,,,,
82194_hypothetical_protein,,,,,,,,,,,,,,,,,,,ECUMN_2331,
5579_gcvA_1,,,,PROKKA_00214,,,,,,,,,,PROKKA_00476,,,,,ECUMN_0808,
11537_hypothetical_protein,,,,,PROKKA_01213,,,PROKKA_02888,,,,,,,,,,,,
44575_hypothetical_protein,,,,,,,,,,,PROKKA_04986,,,,,,,,,
70509_PAS_fold_protein,,,,,,,,,,,,,,,,,PROKKA_05331,,,
36593_hypothetical_protein,,,,,,,,,,PROKKA_01718,,,,,,,,,,
84878_hypothetical_protein,ECP_RS24280,,AS527_RS28885,,,,,,,,,,,,,,,,,
79308_pflD,ECP_RS21205,c4910,AS527_RS23100,PROKKA_03920,PROKKA_02399,PROKKA_03085,PROKKA_03838,PROKKA_04111,PROKKA_02375,PROKKA_02108,PROKKA_01099,PROKKA_00490,PROKKA_03019,PROKKA_05983,PROKKA_02893,PROKKA_03574,PROKKA_00467,b3951,ECUMN_4482,UTI89_C4542
7154_WGR_domain_protein,,,,PROKKA_01879,,PROKKA_00912,,,,,,,,,,,,,ECUMN_2447,
75734_ykfF,,,,,,,,,,,,,,,,,,b0249,,
19822_hypothetical_protein,,,,,,PROKKA_05290,,,,,,,,,,,,,,
59045_dgoD_5,,,,,,,,,,,,,,PROKKA_04170,,,,,,
78797_malT,ECP_RS17865,c4196,AS527_RS07385,PROKKA_03253,PROKKA_01817,PROKKA_02397,PROKKA_03182,PROKKA_03503,PROKKA_03004,PROKKA_02720,PROKKA_00432,PROKKA_01097,PROKKA_02405,PROKKA_04636,PROKKA_02288,PROKKA_02895,PROKKA_01074,b3418,ECUMN_3877,UTI89_C3919
79160_wecE,ECP_RS20255,c4711,AS527_RS08910,PROKKA_03702,PROKKA_02224,PROKKA_02893,PROKKA_03647,PROKKA_03926,PROKKA_02576,PROKKA_02304,PROKKA_00843,PROKKA_00690,PROKKA_02823,PROKKA_05748,PROKKA_02699,PROKKA_03336,PROKKA_00663,b3791,ECUMN_4316,UTI89_C4347
25042_hypothetical_protein,,,,,,,,PROKKA_05029 PROKKA_05136,,,,,,,,,,,,
36430_mog_1,,,,,,,,,,PROKKA_01550,,,,,,,,,,
55315_hypothetical_protein,,,,,,,,,,,,,,PROKKA_00602,,,,,,
20939_hypothetical_protein,,,,,,,PROKKA_00942,,,,,,,,,,,,,
1442_Hypothetical_protein,,c1490,,,,,,,,,,,PROKKA_04867,,,,,,,
23319_tdh_2,,,,,,,PROKKA_03433,,,,,,,,,,,,,
82544_conserved_hypothetic..,ECP_RS12160,,,,,,,,,,,,,,,,,,ECUMN_2689,
60684_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_05143,,,,,
68026_hypothetical_protein,,,,,,,,,,,,,,,,PROKKA_02496,,,,
86330_hypothetical_protein,ECP_RS24825,,AS527_RS28055,,,,,,,,,,,,,,,,,
65614_hypothetical_protein,,,,,,,,,,,,,,,,PROKKA_05001,,,,
19247_hypothetical_protein,,,,,,PROKKA_04682,,,,,,,,,,,,,,
17592_hypothetical_protein,,,,,,PROKKA_02924,,,,,,PROKKA_00659,,,,,,,,
77799_yfdT,,,,,,,PROKKA_04682,,,,,PROKKA_04438,,,,,,b2363,,
43923_hypothetical_protein,,,,,,,,,,,PROKKA_04312,,,,,,,,,
4727_Hypothetical_protein,ECP_RS20820,c4829,AS527_RS22710,,PROKKA_02319,PROKKA_03009,,,PROKKA_02452,,,PROKKA_00573,PROKKA_02943,,PROKKA_02817,PROKKA_03455,PROKKA_00540,,,UTI89_C4466
30530_sfaG_2,,,,,,,,,PROKKA_00652,,,,,,,,,,,
34710_hypothetical_protein,,,,,,,,,PROKKA_05056,,,,,,,,,,,
80863_putative_regulator_f..,,,,,,,,,,,,,,,,,,,ECUMN_0963,
3993_Hypothetical_protein,,c4086,,,,,,,,,,,,,,,,,,
60169_cbdC,,,,,,,,,,,,,,PROKKA_05339,,,,,ECUMN_3259,
77447_yeeS,ECP_RS10420 ECP_RS15375 ECP_RS19565,c1282 c5152,AS527_RS12860 AS527_RS26375,PROKKA_04125,,PROKKA_03526,PROKKA_02681,PROKKA_04512,PROKKA_04542,,PROKKA_01590 PROKKA_04025,,PROKKA_00827 PROKKA_03257,PROKKA_02287,PROKKA_03655 PROKKA_04634,PROKKA_03805,PROKKA_01609 PROKKA_02686 PROKKA_03799,b2002,ECUMN_4885,UTI89_C1145
59184_Integrase_core_domai..,,,,,,,,,,,,,,PROKKA_04314,,,,,,
79694_yjjA,ECP_RS23810,c5439,AS527_RS25965,PROKKA_04380,PROKKA_02864,PROKKA_03617,PROKKA_04306,PROKKA_04565,PROKKA_01903,PROKKA_01609,PROKKA_01668,PROKKA_00023,PROKKA_03616,PROKKA_03482,PROKKA_03364,PROKKA_04125,PROKKA_05012,b4360,ECUMN_4983,UTI89_C5066
77869_hemF,ECP_RS12535,c2970,AS527_RS09865,PROKKA_02191,PROKKA_00817,PROKKA_01235,PROKKA_02020,PROKKA_02466,PROKKA_04100,PROKKA_03766,PROKKA_04581,PROKKA_02180,PROKKA_01263,PROKKA_02821,PROKKA_01240,PROKKA_01883,PROKKA_02242,b2436,ECUMN_2757,UTI89_C2769
38940_rnfC_1,,,,,,,,,,PROKKA_04205,,,,,PROKKA_00805,PROKKA_01455,,,ECUMN_2349,
79551_ytfB,ECP_RS22710,c5305,AS527_RS21545,PROKKA_04240,PROKKA_02682,PROKKA_03409,PROKKA_04146,PROKKA_04397,PROKKA_02056,PROKKA_01805,PROKKA_01485,PROKKA_00171,PROKKA_03374,PROKKA_03701,PROKKA_03203,PROKKA_03988,PROKKA_00072,b4206,ECUMN_4741,UTI89_C4815
79651_fimD,ECP_RS23600,c5396,AS527_RS26185,PROKKA_04321,PROKKA_02805,PROKKA_03574,PROKKA_04255,,,PROKKA_01683,PROKKA_01624,PROKKA_00078,PROKKA_03574,PROKKA_03529,PROKKA_03303,PROKKA_04064,PROKKA_05057,b4317,ECUMN_4924,UTI89_C5014
1008_Hypothetical_protein,,c1036,,,,,,,,,,,,,,,,,,
25664_hypothetical_protein,,,,,,,,PROKKA_00536,,,,,,,,,,,,
26671_hypothetical_protein,,,,,,,,PROKKA_01588,,,,,,,,,,,,
4426_Conserved_hypothetic..,,c4523,,,,,,,,,PROKKA_01377,,,,,,,,,
45043_hypothetical_protein,,,,,,,,,,,,PROKKA_04841,,,,,,,,
77454_yeeA,ECP_RS10460,c2536,AS527_RS01510,PROKKA_01715,PROKKA_00345,PROKKA_00801,PROKKA_01548,PROKKA_02049,PROKKA_04536,PROKKA_04200,PROKKA_04031,PROKKA_02597,PROKKA_00833,PROKKA_02293,PROKKA_00810,PROKKA_01460,PROKKA_02680,b2008,ECUMN_2354,UTI89_C2283
